window_start,window_end,anomaly_score,is_anomaly,mean,std,var,rms,min,max,ptp,median,mad,skew,kurtosis,zero_crossing_rate,crest_factor,dominant_freq,main_peak_power,spectral_centroid,spectral_bandwidth,spectral_rolloff_85,spectral_entropy,peak_ratio,band_energy_0_5.55556e-05hz,band_energy_5.55556e-05_0.000166667hz,band_energy_0.000166667_0.000555556hz,thd,autocorr_lag1,trend_slope
13104,13200,-0.1307725560975972,False,21.86022569444445,15.348389563729084,235.57306219998785,26.6643703009738,5.48,48.9,43.42,17.095,10.818333333333332,0.32317496497062653,-1.5750910553067743,0.042105263157894736,1.8339079246215053,1.1574074074074073e-05,13692404.017689629,1.931089005906743e-05,3.6915359315177e-05,2.3148148148148147e-05,0.2860781671985591,0.6378622442213514,0.9753682524535218,0.012340937569039074,0.012238677133764825,0.0,0.9702711593416955,-0.0003530372053415321
13152,13248,-0.16166867966146686,False,19.841805555555553,12.945544180626538,167.5871141325536,23.65456959514338,5.48,43.403333333333336,37.92333333333333,17.78,11.423333333333336,0.25610633275935935,-1.6022661488869185,0.06315789473684211,1.8348815504232565,1.1574074074074073e-05,8495722.500724105,2.2441675325105703e-05,5.259241940971708e-05,2.3148148148148147e-05,0.29219237850246355,0.6575221566827343,0.967160647847393,0.013971690448331384,0.01882337765883923,0.0,0.9587316289293671,0.0003348966560157554
13200,13296,-0.16559352294921298,False,19.249861111111112,13.008907581796977,169.2316764717349,23.195387457543266,5.623333333333334,43.403333333333336,37.78,16.111666666666668,9.838333333333335,0.34369161618946964,-1.5851517671729811,0.06315789473684211,1.8712053598059846,1.1574074074074073e-05,8910809.092963032,2.2820239773051384e-05,4.247515372087021e-05,2.3148148148148147e-05,0.32658992479863586,0.6281801066229402,0.9494815010305542,0.03133067758925699,0.019079384733350982,0.0,0.9663608788130849,-0.00032087648962038514
13248,13344,-0.08521686942881679,False,22.242604166666666,16.888556402412142,285.22333735745616,27.874463242216283,5.623333333333334,53.14333333333334,47.52,12.668333333333333,6.648333333333333,0.4631260114930173,-1.4734423092728552,0.042105263157894736,1.9065240062755748,1.1574074074074073e-05,12919259.843493143,1.8570752160327274e-05,4.0467563593795376e-05,2.3148148148148147e-05,0.25357776691787137,0.7007588170039672,0.9801638887253377,0.004172394697852896,0.01566323826510644,0.0,0.9734973338663128,0.0005153985802134201
13296,13392,-0.09299287512226795,False,22.754166666666666,16.842122312125873,283.6570839766082,28.256935845551787,5.633333333333333,53.14333333333334,47.510000000000005,13.778333333333334,7.880000000000001,0.40936870500011663,-1.5071188608279495,0.06315789473684211,1.8807181933598542,1.1574074074074073e-05,16599948.667978793,2.185239595311322e-05,4.598889283177398e-05,2.3148148148148147e-05,0.2977198299344919,0.6223166444418838,0.9616544924801104,0.019672387356318002,0.018673023924064353,0.0,0.9665203389745451,-0.00037568718474307146
13344,13440,-0.15972250154498835,False,18.426666666666666,11.948642595836606,142.77005988304094,21.927720269186757,5.633333333333333,43.080000000000005,37.44666666666667,15.671666666666667,9.43,0.35306298227065336,-1.4332286000750436,0.021052631578947368,1.9646365181215335,1.1574074074074073e-05,7026268.550194606,2.532343842007299e-05,5.261150709703515e-05,2.3148148148148147e-05,0.33113707464145953,0.6183722109003839,0.9429431231248614,0.038674332756255834,0.018079123491259293,0.0,0.9354479347436561,0.0002718419043025663
13392,13488,-0.16408543979362666,False,17.100312499999998,11.858822521533167,140.63167159722224,20.77468281223745,4.983333333333333,40.20666666666667,35.223333333333336,12.051666666666666,6.439999999999999,0.47943492487099343,-1.3541935759573174,0.021052631578947368,1.9353684978035266,1.1574074074074073e-05,7012841.28884227,2.6188622961874296e-05,6.367506839919115e-05,2.3148148148148147e-05,0.26583455910791576,0.712538170614428,0.9452739655976208,0.025239031106478932,0.02925774957171075,0.0,0.9578311503206324,-0.00031164091859086404
13440,13536,-0.010602157242380672,False,6.921961805555555,2.9005930629191132,8.413440116654483,7.4992903232912145,4.973333333333334,23.526666666666667,18.553333333333335,6.1450000000000005,0.4783333333333335,3.607489038624979,14.361645460411296,0.09473684210526316,3.1371857405753,0.0,50526.70548824229,7.272878890135457e-05,0.00013832631052009472,0.00026620370370370367,0.4667486691235204,0.47994741883696146,0.782097929834467,0.032859434111731964,0.184997190089945,0.0,0.7206483919992761,-4.674970107111987e-05
13488,13584,-0.0553878101342028,False,6.10296875,0.8317297625091741,0.6917743978435672,6.158798257615625,4.973333333333334,9.883333333333335,4.910000000000001,5.973333333333333,0.4183333333333321,2.1140677202254885,6.298782962391533,0.45263157894736844,1.6047502970422116,3.472222222222222e-05,13460.17485131502,0.00016352471554088884,0.0001526239733989384,0.00037037037037037035,0.842335450530582,0.15524486594510292,0.3984118669276965,0.18983676186158646,0.41170353813968186,0.0,0.36846955524692504,8.321150097466345e-07
13536,13632,-0.035484761857591085,False,6.118958333333334,0.8847979664988317,0.7828674415204677,6.181938503204914,4.933333333333334,11.096666666666666,6.163333333333332,5.945,0.3683333333333332,2.7910325643154574,11.580724264721717,0.4105263157894737,1.7950140818955098,1.1574074074074073e-05,3828.9409958471765,0.0002204498395757054,0.00016179678397685763,0.0004050925925925926,0.8934249120926446,0.093454452947649,0.19948923460351378,0.2192115674339432,0.5648504893797167,0.0,0.1719418717875724,5.758575993247746e-06
