start_index,matrix_profile,nearest_neighbor_index
555,2.4788435495728263,364
556,2.491180371167869,365
557,2.5104939792376846,366
558,2.5180018153639208,366
559,2.5496879610357612,367
560,2.5818871368437932,272
561,2.5517466472841086,273
562,2.6079813392973965,274
563,2.576617814649669,372
564,2.449453124692567,373
565,2.4706517366893004,374
566,2.4818427805605685,375
567,2.4691771637250652,376
568,2.474250260312253,377
569,2.4448434694047356,378
570,2.445961277290115,379
571,2.429157035924682,380
572,2.415375104223714,381
573,2.3966025635202026,382
574,2.393835859950508,383
575,2.3778219283254702,384
576,2.3734399160042625,385
577,2.3754381113592467,386
578,2.405400396175527,387
579,2.4071686986670753,388
580,2.4022796742235704,389
581,2.415218066129654,390
582,2.423308031705197,391
583,2.419247394857506,392
584,2.427868254772351,393
585,2.4252800756400714,394
586,2.4430344309825385,395
587,2.4487165690859496,395
588,2.4509275317045307,396
589,2.4564002518503347,397
590,2.4499839912441757,399
591,2.434606878281814,400
592,2.432900592820019,400
593,2.4226283319105884,401
594,2.424333484197157,402
595,2.399269192957129,403
596,2.4017712809378944,404
597,2.4005726252058937,405
598,2.406186538487086,406
599,2.403400001153948,407
600,2.39303346670313,408
601,2.3785924314229456,409
602,2.3801654938950034,410
603,2.3649933171356494,411
604,2.346282184748621,412
605,2.3024980907698707,413
606,2.2918709472674283,414
607,2.2947137018246333,415
608,2.2971107238687587,416
609,2.268716425802468,417
610,2.2691798194435373,418
611,2.283448649187815,419
612,2.3062438618205947,420
613,2.2975286470967977,421
614,2.282845071048655,422
615,2.269463986997908,423
616,2.243623388549883,424
617,2.24466077616057,425
618,2.2248620253778486,426
619,2.2266855147803524,427
620,2.196788515452283,428
621,2.179286675350671,429
622,2.1780258225680322,430
623,2.176950183308263,431
624,2.1743414205433456,432
625,2.1729423653955027,433
626,2.176838046345128,434
627,2.2424913952638503,435
628,2.055125066916623,2551
629,2.055371937242701,2552
630,2.1119602589796673,25986
631,2.0499553672435207,12644
632,1.955409473209297,12645
633,1.841333943475066,12646
634,1.7945058786039025,12647
635,1.714399317344511,12648
636,1.6741739221230487,12649
637,1.5925707862270853,12650
638,1.6172803353979548,12651
639,1.6116709567301035,12652
640,1.6216828164113437,12653
641,1.6627527998814096,12654
642,1.554546713985746,12655
643,1.596628359397447,12656
644,1.6300615243091587,12657
645,1.668875069311622,12658
646,1.6849558052829794,12660
647,1.5662139741897363,12661
648,1.616632616910858,12662
649,1.6676797097203047,12663
650,1.6631621154679403,12664
651,1.7097300672990443,12665
652,1.7449575062923666,12666
653,1.7815745616180914,25531
654,1.9053917147809136,25532
655,1.8912735845297948,25533
656,2.063509176758068,25534
657,2.136475744353971,12669
658,2.286727521432224,12670
659,2.459138046461503,12671
660,2.4517131981639495,12672
661,2.9283336674699427,12673
662,3.344387075558444,12674
663,4.286587371108623,12675
664,5.289983666093905,22180
665,6.085415289551677,22181
666,8.670674304781233,6726
667,10.470795697200442,11488
668,10.505023585031863,14807
669,10.55161223326579,14808
670,10.582463999208787,14809
